[run number];awareness-frecuency;[reporter];[final];[min];[max];[mean];[total steps]
1;500;[step];8000;0;8000;4000;8000
1;;mean [digital-knowledge] of citizens;77,67172788;20,63946718;77,90577076;66,41927755;8000
1;;cumulative-victims;16030;0;16030;8894,829771;8000
1;;ema-success-rate;0,047556073;0;0,169936512;0,06813441;8000
1;;vulnerability-index;0;0;0,47;0,019328417;8000
1;;expert-index;0,92;0;0,92;0,509725451;8000
1;;attackers-jail;9;0;28;10,45094363;8000
1;;attackers-free;31;12;40;29,54905637;8000
1;;mean [last-payoff] of attackers;-3,2;-5,3;3;-2,017910261;8000
1;;mean [aspiration-payoff] of attackers;-3,364712986;-4,084723162;0,01;-2,58277234;8000
2;500;[step];8000;0;8000;4000;8000
2;;mean [digital-knowledge] of citizens;78,51091412;19,10756075;79,22396997;66,93417876;8000
2;;cumulative-victims;16189;0;16189;9008,776653;8000
2;;ema-success-rate;0,054579574;0;0,160213469;0,065623429;8000
2;;vulnerability-index;0;0;0,53;0,022404283;8000
2;;expert-index;0,92;0;0,956666667;0,53445486;8000
2;;attackers-jail;8;0;29;10,0096238;8000
2;;attackers-free;32;11;40;29,9903762;8000
2;;mean [last-payoff] of attackers;-1,5;-5,7;2,5;-2,102699663;8000
2;;mean [aspiration-payoff] of attackers;-2,688624508;-4,22370935;0,01;-2,670481368;8000
3;500;[step];8000;0;8000;4000;8000
3;;mean [digital-knowledge] of citizens;77,32283999;20,21812733;78,52121352;66,68646841;8000
3;;cumulative-victims;16052;0;16052;8946,189976;8000
3;;ema-success-rate;0,05692876;0;0,154039387;0,066582613;8000
3;;vulnerability-index;0;0;0,523333333;0,019079698;8000
3;;expert-index;0,89;0;0,94;0,517035371;8000
3;;attackers-jail;7;0;26;9,934508186;8000
3;;attackers-free;33;14;40;30,06549181;8000
3;;mean [last-payoff] of attackers;-1,2;-5,2;2,9;-2,05168104;8000
3;;mean [aspiration-payoff] of attackers;-2,859303853;-3,689303064;0,01;-2,622584899;8000
4;500;[step];8000;0;8000;4000;8000
4;;mean [digital-knowledge] of citizens;78,9011447;20,65427359;78,9011447;66,79864376;8000
4;;cumulative-victims;16176;0;16176;8976,544807;8000
4;;ema-success-rate;0,053595043;0;0,15564071;0,067087633;8000
4;;vulnerability-index;0;0;0,496666667;0,018704329;8000
4;;expert-index;0,943333333;0;0,943333333;0,519449652;8000
4;;attackers-jail;7;0;25;10,17610299;8000
4;;attackers-free;33;15;40;29,82389701;8000
4;;mean [last-payoff] of attackers;-2,2;-5,4;2,6;-2,041132358;8000
4;;mean [aspiration-payoff] of attackers;-3,20960854;-3,976942099;0,06438;-2,59063203;8000
5;500;[step];8000;0;8000;4000;8000
5;;mean [digital-knowledge] of citizens;77,65516221;21,09644291;78,47161943;66,49024539;8000
5;;cumulative-victims;15958;0;15958;8841,96038;8000
5;;ema-success-rate;0,055745687;0;0,165126365;0,066284193;8000
5;;vulnerability-index;0;0;0,456666667;0,019431738;8000
5;;expert-index;0,903333333;0;0,916666667;0,509386743;8000
5;;attackers-jail;7;0;26;10,29858768;8000
5;;attackers-free;33;14;40;29,70141232;8000
5;;mean [last-payoff] of attackers;-2,5;-5,4;2,6;-2,061354831;8000
5;;mean [aspiration-payoff] of attackers;-2,998844684;-3,984327272;0,046182815;-2,631839065;8000
6;500;[step];8000;0;8000;4000;8000
6;;mean [digital-knowledge] of citizens;78,5168454;20,04002983;79,32170603;67,20011291;8000
6;;cumulative-victims;16145;0;16145;8989,989126;8000
6;;ema-success-rate;0,05108551;0;0,155197933;0,065837011;8000
6;;vulnerability-index;0;0;0,523333333;0,019537558;8000
6;;expert-index;0,923333333;0;0,97;0,543099613;8000
6;;attackers-jail;14;0;24;9,629421322;8000
6;;attackers-free;26;16;40;30,37057868;8000
6;;mean [last-payoff] of attackers;-2,7;-5,5;5;-2,115748031;8000
6;;mean [aspiration-payoff] of attackers;-2,515814103;-3,823706369;0,68124238;-2,647639178;8000
7;500;[step];8000;0;8000;4000;8000
7;;mean [digital-knowledge] of citizens;77,95920144;20,41661741;77,95920144;65,84059424;8000
7;;cumulative-victims;15980;0;15980;8817,742157;8000
7;;ema-success-rate;0,053414002;0;0,16010512;0,067704962;8000
7;;vulnerability-index;0;0;0,496666667;0,019292172;8000
7;;expert-index;0,9;0;0,906666667;0,482821314;8000
7;;attackers-jail;11;0;31;10,73428321;8000
7;;attackers-free;29;9;40;29,26571679;8000
7;;mean [last-payoff] of attackers;-2,6;-5,7;5,4;-2,007411574;8000
7;;mean [aspiration-payoff] of attackers;-3,796964121;-4,178211279;0,391623931;-2,581445411;8000
8;500;[step];8000;0;8000;4000;8000
8;;mean [digital-knowledge] of citizens;77,88137465;20,39752589;78,35671831;66,48768006;8000
8;;cumulative-victims;16000;0;16000;8916,08149;8000
8;;ema-success-rate;0,048033362;0;0,166096318;0,066413805;8000
8;;vulnerability-index;0;0;0,473333333;0,022011415;8000
8;;expert-index;0,896666667;0;0,933333333;0,515943007;8000
8;;attackers-jail;12;0;24;10,1176103;8000
8;;attackers-free;28;16;40;29,8823897;8000
8;;mean [last-payoff] of attackers;-2,8;-5,3;3,1;-2,084089489;8000
8;;mean [aspiration-payoff] of attackers;-3,321264662;-4,112481192;0,245911479;-2,680705878;8000
9;500;[step];8000;0;8000;4000;8000
9;;mean [digital-knowledge] of citizens;77,39342217;18,65810253;79,29493891;66,90690035;8000
9;;cumulative-victims;16066;0;16066;8989,940632;8000
9;;ema-success-rate;0,049887062;0;0,177619287;0,066057001;8000
9;;vulnerability-index;0;0;0,576666667;0,024585677;8000
9;;expert-index;0,91;0;0,96;0,548271049;8000
9;;attackers-jail;5;0;26;10,00274966;8000
9;;attackers-free;35;14;40;29,99725034;8000
9;;mean [last-payoff] of attackers;-3,2;-6,2;2,8;-2,125459318;8000
9;;mean [aspiration-payoff] of attackers;-2,774667808;-4,12961766;0,01;-2,697866484;8000
10;500;[step];8000;0;8000;4000;8000
10;;mean [digital-knowledge] of citizens;76,19084263;19,43593925;77,31340705;65,70835011;8000
10;;cumulative-victims;15926;0;15926;8848,344707;8000
10;;ema-success-rate;0,056179747;0;0,164345193;0,068157928;8000
10;;vulnerability-index;0;0;0,526666667;0,023937008;8000
10;;expert-index;0,873333333;0;0,913333333;0,497158272;8000
10;;attackers-jail;9;0;29;10,3632046;8000
10;;attackers-free;31;11;40;29,6367954;8000
10;;mean [last-payoff] of attackers;-1;-5,3;3,3;-1,98600175;8000
10;;mean [aspiration-payoff] of attackers;-2,694845286;-3,798378123;0,039573104;-2,544797422;8000
11;1000;[step];8000;0;8000;4000;8000
11;;mean [digital-knowledge] of citizens;69,49773452;19,74904343;70,02086691;57,04634177;8000
11;;cumulative-victims;18676;0;18676;10219,80652;8000
11;;ema-success-rate;0,074547586;0;0,166223355;0,085811766;8000
11;;vulnerability-index;0;0;0,52;0,033073782;8000
11;;expert-index;0,506666667;0;0,516666667;0,195467233;8000
11;;attackers-jail;11;0;27;12,13610799;8000
11;;attackers-free;29;13;40;27,86389201;8000
11;;mean [last-payoff] of attackers;-0,4;-5;4,4;-1,537045369;8000
11;;mean [aspiration-payoff] of attackers;-2,526645687;-3,273245015;0,01;-2,044974762;8000
12;1000;[step];8000;0;8000;4000;8000
12;;mean [digital-knowledge] of citizens;68,99250591;20,62949463;69,43396572;56,45355828;8000
12;;cumulative-victims;18520;0;18520;10100,90926;8000
12;;ema-success-rate;0,078463363;0;0,159594978;0,085658078;8000
12;;vulnerability-index;0;0;0,473333333;0,033397075;8000
12;;expert-index;0,446666667;0;0,476666667;0,163990335;8000
12;;attackers-jail;11;0;22;12,24496938;8000
12;;attackers-free;29;18;40;27,75503062;8000
12;;mean [last-payoff] of attackers;-1,9;-4,5;2,7;-1,530658668;8000
12;;mean [aspiration-payoff] of attackers;-2,20949651;-3,306654533;0,02229425;-2,064984954;8000
13;1000;[step];8000;0;8000;4000;8000
13;;mean [digital-knowledge] of citizens;69,95599613;19,80074308;70,59399516;55,82956268;8000
13;;cumulative-victims;18640;0;18640;10097,87877;8000
13;;ema-success-rate;0,070703002;0;0,1612111;0,086503922;8000
13;;vulnerability-index;0;0;0,513333333;0,037357414;8000
13;;expert-index;0,513333333;0;0,536666667;0,167794859;8000
13;;attackers-jail;8;0;27;12,51131109;8000
13;;attackers-free;32;13;40;27,48868891;8000
13;;mean [last-payoff] of attackers;-1,7;-5,9;3,7;-1,5223972;8000
13;;mean [aspiration-payoff] of attackers;-2,327691029;-3,447284553;0,197633746;-2,067464349;8000
14;1000;[step];8000;0;8000;4000;8000
14;;mean [digital-knowledge] of citizens;71,44382086;19,09500144;72,77677607;57,83578139;8000
14;;cumulative-victims;18822;0;18822;10306,05699;8000
14;;ema-success-rate;0,083723713;0;0,162788053;0,08518646;8000
14;;vulnerability-index;0;0;0,546666667;0,034494022;8000
14;;expert-index;0,586666667;0;0,69;0,227596967;8000
14;;attackers-jail;9;0;23;11,41269841;8000
14;;attackers-free;31;17;40;28,58730159;8000
14;;mean [last-payoff] of attackers;-0,6;-4,8;3,1;-1,602687164;8000
14;;mean [aspiration-payoff] of attackers;-1,985911812;-3,417864018;0,01;-2,095452158;8000
15;1000;[step];8000;0;8000;4000;8000
15;;mean [digital-knowledge] of citizens;69,06993634;18,91996354;69,06993634;56,19128517;8000
15;;cumulative-victims;18659;0;18659;10198,90314;8000
15;;ema-success-rate;0,078291758;0;0,161723483;0,087263777;8000
15;;vulnerability-index;0;0;0,543333333;0,039955006;8000
15;;expert-index;0,446666667;0;0,48;0,179195101;8000
15;;attackers-jail;7;0;25;12,30783652;8000
