[run number];train-frecuency;[reporter];[final];[min];[max];[mean];[total steps]
1;500;[step];8000;0;8000;4000;8000
1;;mean [digital-knowledge] of citizens;74,05498953;20,48454631;74,30236701;62,85990364;8000
1;;cumulative-victims;16875;0;16875;9276,471191;8000
1;;ema-success-rate;0,065904156;0;0,164745518;0,074327782;8000
1;;vulnerability-index;0;0;0,513333333;0,039039703;8000
1;;expert-index;0,593333333;0;0,6;0,420647836;8000
1;;attackers-jail;13;0;26;11,28471441;8000
1;;attackers-free;27;14;40;28,71528559;8000
1;;mean [last-payoff] of attackers;-0,4;-5,1;2,7;-1,831246094;8000
1;;mean [aspiration-payoff] of attackers;-2,517533436;-3,606998711;0,187432892;-2,411921439;8000
2;500;[step];8000;0;8000;4000;8000
2;;mean [digital-knowledge] of citizens;74,07173326;20,18852298;74,74655132;62,17259754;8000
2;;cumulative-victims;16952;0;16952;9259,738283;8000
2;;ema-success-rate;0,065230423;0;0,164802369;0,075397166;8000
2;;vulnerability-index;0;0;0,5;0,043602466;8000
2;;expert-index;0,576666667;0;0,65;0,412625505;8000
2;;attackers-jail;12;0;27;11,08998875;8000
2;;attackers-free;28;13;40;28,91001125;8000
2;;mean [last-payoff] of attackers;-1,5;-4,8;2,2;-1,792863392;8000
2;;mean [aspiration-payoff] of attackers;-2,546764071;-3,474339616;0,01;-2,333981727;8000
3;500;[step];8000;0;8000;4000;8000
3;;mean [digital-knowledge] of citizens;74,42856611;19,04783338;74,92217987;63,65785841;8000
3;;cumulative-victims;17021;0;17021;9398,934633;8000
3;;ema-success-rate;0,060263559;0;0,162564221;0,07208682;8000
3;;vulnerability-index;0;0;0,513333333;0,03455943;8000
3;;expert-index;0,613333333;0;0,64;0,435506395;8000
3;;attackers-jail;6;0;22;10,31396075;8000
3;;attackers-free;34;18;40;29,68603925;8000
3;;mean [last-payoff] of attackers;-3,6;-5;2,9;-1,901049869;8000
3;;mean [aspiration-payoff] of attackers;-2,515159573;-3,709608328;0,0630085;-2,412916311;8000
4;500;[step];8000;0;8000;4000;8000
4;;mean [digital-knowledge] of citizens;75,18474606;19,93143884;75,18474606;62,94748575;8000
4;;cumulative-victims;17019;0;17019;9318,151231;8000
4;;ema-success-rate;0,063376634;0;0,167441544;0,073621605;8000
4;;vulnerability-index;0;0;0,496666667;0,039239678;8000
4;;expert-index;0,616666667;0;0,626666667;0,420174145;8000
4;;attackers-jail;14;0;25;10,78702662;8000
4;;attackers-free;26;15;40;29,21297338;8000
4;;mean [last-payoff] of attackers;-1;-5,3;3,5;-1,86127984;8000
4;;mean [aspiration-payoff] of attackers;-2,911381783;-3,541688153;0,35347525;-2,391299753;8000
5;500;[step];8000;0;8000;4000;8000
5;;mean [digital-knowledge] of citizens;73,1241697;19,67101051;74,34020972;62,87880663;8000
5;;cumulative-victims;16873;0;16873;9321,033246;8000
5;;ema-success-rate;0,06082426;0;0,167277421;0,073577447;8000
5;;vulnerability-index;0;0;0,463333333;0,034711494;8000
5;;expert-index;0,576666667;0;0,63;0,414749406;8000
5;;attackers-jail;6;0;26;11,11461067;8000
5;;attackers-free;34;14;40;28,88538933;8000
5;;mean [last-payoff] of attackers;-1,7;-5,2;2,9;-1,818735158;8000
5;;mean [aspiration-payoff] of attackers;-2,693924664;-3,718066116;0,219835583;-2,384734136;8000
6;500;[step];8000;0;8000;4000;8000
6;;mean [digital-knowledge] of citizens;74,50301258;19,97987638;74,81546885;63,34314188;8000
6;;cumulative-victims;16924;0;16924;9325,446569;8000
6;;ema-success-rate;0,060748859;0;0,157329845;0,07334493;8000
6;;vulnerability-index;0;0;0,483333333;0,02992251;8000
6;;expert-index;0,616666667;0;0,643333333;0,416009249;8000
6;;attackers-jail;8;0;25;10,65104362;8000
6;;attackers-free;32;15;40;29,34895638;8000
6;;mean [last-payoff] of attackers;-2,2;-4,8;3,1;-1,831746032;8000
6;;mean [aspiration-payoff] of attackers;-2,554909576;-3,526108417;0,07171925;-2,355549977;8000
7;500;[step];8000;0;8000;4000;8000
7;;mean [digital-knowledge] of citizens;73,57669489;20,01106672;74,29588245;62,89142793;8000
7;;cumulative-victims;16994;0;16994;9317,403075;8000
7;;ema-success-rate;0,058256267;0;0,165078054;0,074261854;8000
7;;vulnerability-index;0;0;0,513333333;0,041047786;8000
7;;expert-index;0,586666667;0;0,636666667;0,422340957;8000
7;;attackers-jail;8;0;29;11,04149481;8000
7;;attackers-free;32;11;40;28,95850519;8000
7;;mean [last-payoff] of attackers;-2,7;-4,8;2,3;-1,826146732;8000
7;;mean [aspiration-payoff] of attackers;-2,733817843;-3,41625005;0,087555556;-2,352256226;8000
8;500;[step];8000;0;8000;4000;8000
8;;mean [digital-knowledge] of citizens;73,77847084;18,60236859;74,1211114;61,65211827;8000
8;;cumulative-victims;16930;0;16930;9277,599425;8000
8;;ema-success-rate;0,067561076;0;0,176128248;0,077141137;8000
8;;vulnerability-index;0;0;0,54;0,045407241;8000
8;;expert-index;0,583333333;0;0,593333333;0,391900179;8000
8;;attackers-jail;13;0;28;11,56867892;8000
8;;attackers-free;27;12;40;28,43132108;8000
8;;mean [last-payoff] of attackers;-0,2;-5,2;3;-1,721984752;8000
8;;mean [aspiration-payoff] of attackers;-2,546045827;-3,595390453;0,279519914;-2,269607994;8000
9;500;[step];8000;0;8000;4000;8000
9;;mean [digital-knowledge] of citizens;73,94800285;20,6614037;75,56360458;63,59073205;8000
9;;cumulative-victims;16829;0;16829;9257,539308;8000
9;;ema-success-rate;0,061982371;0;0,163454639;0,073367185;8000
9;;vulnerability-index;0;0;0,51;0,03733575;8000
9;;expert-index;0,583333333;0;0,64;0,437905262;8000
9;;attackers-jail;8;0;24;10,52418448;8000
9;;attackers-free;32;16;40;29,47581552;8000
9;;mean [last-payoff] of attackers;-3,4;-5,4;2,5;-1,876590426;8000
9;;mean [aspiration-payoff] of attackers;-2,74723758;-3,867007664;0,01;-2,413274922;8000
10;500;[step];8000;0;8000;4000;8000
10;;mean [digital-knowledge] of citizens;74,9886606;21,13586429;75,35073048;64,00932003;8000
10;;cumulative-victims;16937;0;16937;9330,900012;8000
10;;ema-success-rate;0,058295407;0;0,160655001;0,072342285;8000
10;;vulnerability-index;0;0;0,473333333;0,033041703;8000
10;;expert-index;0,603333333;0;0,646666667;0,438474357;8000
10;;attackers-jail;7;0;31;10,28333958;8000
10;;attackers-free;33;9;40;29,71666042;8000
10;;mean [last-payoff] of attackers;-1,7;-5,7;3,1;-1,900612423;8000
10;;mean [aspiration-payoff] of attackers;-2,754731309;-3,687002078;0,01;-2,446278765;8000
11;1000;[step];8000;0;8000;4000;8000
11;;mean [digital-knowledge] of citizens;67,01648747;19,93408127;67,16958996;53,88859285;8000
11;;cumulative-victims;19271;0;19271;10397,64167;8000
11;;ema-success-rate;0,080766317;0;0,163417366;0,090852797;8000
11;;vulnerability-index;0;0;0,506666667;0,054731909;8000
11;;expert-index;0,366666667;0;0,373333333;0,214898971;8000
11;;attackers-jail;11;0;26;12,59030121;8000
11;;attackers-free;29;14;40;27,40969879;8000
11;;mean [last-payoff] of attackers;-3,1;-4,5;2,9;-1,434033246;8000
11;;mean [aspiration-payoff] of attackers;-1,939104193;-3,319213744;0,01;-1,941451473;8000
12;1000;[step];8000;0;8000;4000;8000
12;;mean [digital-knowledge] of citizens;68,2500518;20,02400578;68,2500518;55,67095259;8000
12;;cumulative-victims;19342;0;19342;10483,71204;8000
12;;ema-success-rate;0,069481228;0;0,16262064;0,088325799;8000
12;;vulnerability-index;0;0;0,496666667;0,046514602;8000
12;;expert-index;0,396666667;0;0,396666667;0,234409865;8000
12;;attackers-jail;12;0;28;11,83652043;8000
12;;attackers-free;28;12;40;28,16347957;8000
12;;mean [last-payoff] of attackers;-0,8;-4,7;2,6;-1,519960005;8000
12;;mean [aspiration-payoff] of attackers;-2,403402135;-3,090900059;0,106943296;-2,004956827;8000
13;1000;[step];8000;0;8000;4000;8000
13;;mean [digital-knowledge] of citizens;67,12485924;20,422757;67,12485924;55,35802009;8000
13;;cumulative-victims;19223;0;19223;10459,25672;8000
13;;ema-success-rate;0,082699579;0;0,159378162;0,088562803;8000
13;;vulnerability-index;0;0;0,486666667;0,039700871;8000
13;;expert-index;0,38;0;0,386666667;0,222326376;8000
13;;attackers-jail;13;0;24;11,97000375;8000
13;;attackers-free;27;16;40;28,02999625;8000
13;;mean [last-payoff] of attackers;-0,3;-6,9;3;-1,489863767;8000
13;;mean [aspiration-payoff] of attackers;-2,277707521;-3,07334563;0,027946731;-1,983788376;8000
14;1000;[step];8000;0;8000;4000;8000
14;;mean [digital-knowledge] of citizens;66,43479391;19,37072167;66,43479391;53,48049737;8000
14;;cumulative-victims;19328;0;19328;10443,25897;8000
14;;ema-success-rate;0,082504079;0;0,171772303;0,09181309;8000
14;;vulnerability-index;0;0;0,503333333;0,049883765;8000
14;;expert-index;0,373333333;0;0,373333333;0,202092238;8000
14;;attackers-jail;10;0;28;12,79327584;8000
14;;attackers-free;30;12;40;27,20672416;8000
14;;mean [last-payoff] of attackers;-2,6;-4,4;3,1;-1,403349581;8000
14;;mean [aspiration-payoff] of attackers;-2,350429809;-3,035174384;0,384857853;-1,891162603;8000
15;1000;[step];8000;0;8000;4000;8000
15;;mean [digital-knowledge] of citizens;67,46433437;21,25367979;68,14075963;55,90092247;8000
15;;cumulative-victims;19297;0;19297;10482,87427;8000
15;;ema-success-rate;0,072861077;0;0,158703048;0,088826312;8000
15;;vulnerability-index;0;0;0,456666667;0,032341374;8000
15;;expert-index;0,37;0;0,39;0,22976253;8000
15;;attackers-jail;9;0;24;11,83239595;8000
15;;attackers-free;31;16;40;28,16760405;8000
15;;mean [last-payoff] of attackers;-2,8;-4,5;2,7;-1,503449569;8000
15;;mean [aspiration-payoff] of attackers;-2,353037203;-3,184156868;0,163549574;-1,95340015;8000
16;1000;[step];8000;0;8000;4000;8000
16;;mean [digital-knowledge] of citizens;67,13425386;20,2404989;67,13425386;53,88773808;8000
16;;cumulative-victims;19290;0;19290;10402,9615;8000
16;;ema-success-rate;0,087700086;0;0,160894767;0,091657571;8000
16;;vulnerability-index;0;0;0,49;0,04687914;8000
16;;expert-index;0,373333333;0;0,376666667;0,209479648;8000
16;;attackers-jail;6;0;25;12,41332333;8000
16;;attackers-free;34;15;40;27,58667667;8000
16;;mean [last-payoff] of attackers;-1,8;-4,7;3,2;-1,416647919;8000
16;;mean [aspiration-payoff] of attackers;-2,158460466;-3,061318724;0,01;-1,903177915;8000
17;1000;[step];8000;0;8000;4000;8000
17;;mean [digital-knowledge] of citizens;67,19707497;21,48511148;67,19707497;54,58870948;8000
17;;cumulative-victims;19271;0;19271;10373,75928;8000
17;;ema-success-rate;0,084134721;0;0,167070987;0,090646266;8000
17;;vulnerability-index;0;0;0,453333333;0,039141357;8000
17;;expert-index;0,363333333;0;0,363333333;0,206287964;8000
17;;attackers-jail;10;0;28;12,56092988;8000
17;;attackers-free;30;12;40;27,43907012;8000
17;;mean [last-payoff] of attackers;-0,9;-4,3;2,4;-1,425346832;8000
17;;mean [aspiration-payoff] of attackers;-2,340928821;-2,930394014;0,01;-1,923209739;8000
18;1000;[step];8000;0;8000;4000;8000
18;;mean [digital-knowledge] of citizens;66,83097804;20,02965441;66,9245447;53,91113072;8000
18;;cumulative-victims;19370;0;19370;10464,2141;8000
18;;ema-success-rate;0,072233724;0;0,168754839;0,091916868;8000
18;;vulnerability-index;0;0;0,513333333;0,043464567;8000
18;;expert-index;0,35;0;0,373333333;0,205875516;8000
18;;attackers-jail;8;0;23;12,38545182;8000
18;;attackers-free;32;17;40;27,61454818;8000
18;;mean [last-payoff] of attackers;-0,6;-4,8;3;-1,403937008;8000
18;;mean [aspiration-payoff] of attackers;-2,167719791;-3,118683173;0,091633194;-1,880793193;8000
